date:2022-08-02 17:18:06	thread:main	level:INFO 	logger:com.ctf.admin.CtfAdminApplication               	msg:The following profiles are active: native
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.querySysUrl   	msg:==> Parameters: 10001(String), 10(Integer)
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:com.ctf.admin.mapper.SysUrlMapper.querySysUrl   	msg:<==      Total: 10
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:==>  Preparing: SELECT mrd.data_field AS "dataField" FROM mscode_sys_role_data mrd WHERE mrd.menu_code = ? AND EXISTS (SELECT 1 FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND msr.role_code = mrd.role_code AND msu.username = ?)
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:==> Parameters: sysurl(String), admin(String)
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:<==      Total: 0
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@4ff31100]
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@4ff31100] after transaction
date:2022-08-02 17:20:51	thread:http-nio-10012-exec-1	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/admin/sysrole/querySysRole?currentPage=1&pageSize=10&sorter=createTime_descend", parameters={masked}
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.admin.service.impl.SysRoleServiceImpl.querySysRole]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 486142
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 486289
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@760f5cf8] for JDBC transaction
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@760f5cf8] to manual commit
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:c.c.a.mapper.SysRoleMapper.querySysRole_COUNT   	msg:==>  Preparing: SELECT count(0) FROM mscode_sys_role WHERE 1 = 1 AND tenant_code = ?
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:c.c.a.mapper.SysRoleMapper.querySysRole_COUNT   	msg:==> Parameters: 10001(String)
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:c.c.a.mapper.SysRoleMapper.querySysRole_COUNT   	msg:<==      Total: 1
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.querySysRole 	msg:==>  Preparing: SELECT CAST(id AS CHAR) AS "id",role_code AS "roleCode",role_name AS "roleName",role_description AS "roleDescription",create_time AS "createTime" FROM mscode_sys_role WHERE 1 = 1 AND tenant_code = ? ORDER BY createTime DESC LIMIT ?
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.querySysRole 	msg:==> Parameters: 10001(String), 10(Integer)
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.querySysRole 	msg:<==      Total: 6
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:==>  Preparing: SELECT mrd.data_field AS "dataField" FROM mscode_sys_role_data mrd WHERE mrd.menu_code = ? AND EXISTS (SELECT 1 FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND msr.role_code = mrd.role_code AND msu.username = ?)
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:==> Parameters: sysrole(String), admin(String)
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:<==      Total: 0
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@760f5cf8]
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@760f5cf8] after transaction
date:2022-08-02 17:28:57	thread:http-nio-10012-exec-3	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/admin/sysmenu/querySysMenu?currentPage=1&pageSize=10", parameters={masked}
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.admin.service.impl.SysMenuServiceImpl.querySysMenu]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@760f5cf8] for JDBC transaction
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@760f5cf8] to manual commit
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:com.ctf.admin.mapper.SysMenuMapper.querySysMenu 	msg:==>  Preparing: SELECT CAST(msm.id AS CHAR) AS "id",msm.menu_code AS "menuCode",msm.menu_name AS "menuName",msm.menu_icon AS "menuIcon",msm.menu_path AS "menuPath",msm.menu_component AS "menuComponent",msm.menu_sequence AS "menuSequence",msm.menu_status AS "menuStatus",(CASE WHEN msm.menu_status = 0 THEN '隐藏' ELSE '显示' END) AS "menuStatusCn",CAST(msm.parent_id AS CHAR) AS "parentId",msm.create_time AS "createTime" FROM mscode_sys_menu msm WHERE 1 = 1 AND msm.tenant_code = ? ORDER BY menu_sequence ASC
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:com.ctf.admin.mapper.SysMenuMapper.querySysMenu 	msg:==> Parameters: 10001(String)
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:com.ctf.admin.mapper.SysMenuMapper.querySysMenu 	msg:<==      Total: 90
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:==>  Preparing: SELECT mrd.data_field AS "dataField" FROM mscode_sys_role_data mrd WHERE mrd.menu_code = ? AND EXISTS (SELECT 1 FROM mscode_sys_role msr,mscode_sys_role_user msru,mscode_sys_user msu WHERE msr.id = msru.role_id AND msu.id = msru.user_id AND msr.role_code = mrd.role_code AND msu.username = ?)
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:==> Parameters: sysmenu(String), admin(String)
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleData	msg:<==      Total: 0
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@760f5cf8]
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@760f5cf8] after transaction
date:2022-08-02 17:28:58	thread:http-nio-10012-exec-4	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:Completed 200 OK
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/admin/sysmenu/queryDataFieldByMenuCode?menuCode=home", parameters={masked}
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:o.springframework.web.servlet.DispatcherServlet 	msg:GET "/admin/sysrole/queryRoleCode", parameters={}
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.admin.service.impl.SysRoleServiceImpl.queryRoleCode]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:WARN 	logger:com.alibaba.druid.pool.DruidAbstractDataSource  	msg:discard long time none received connection. , jdbcUrl : jdbc:mysql://127.0.0.1:3306/ctf_platform?allowMultiQueries=true&useUnicode=true&characterEncoding=UTF-8&serverTimezone=GMT%2B8, version : 1.2.4, lastPacketReceivedIdleMillis : 94159
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Creating new transaction with name [com.ctf.admin.service.impl.SysMenuServiceImpl.queryDataFieldByMenuCode]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@5bbdbb36] for JDBC transaction
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@5bbdbb36] to manual commit
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleCode	msg:==>  Preparing: SELECT role_code AS "name",role_code AS "value" FROM mscode_sys_role
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleCode	msg:==> Parameters: 
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:com.ctf.admin.mapper.SysRoleMapper.queryRoleCode	msg:<==      Total: 6
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@5bbdbb36]
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-6	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@5bbdbb36] after transaction
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Acquired Connection [com.mysql.cj.jdbc.ConnectionImpl@5bbdbb36] for JDBC transaction
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Switching JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@5bbdbb36] to manual commit
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:c.c.a.m.SysMenuMapper.queryDataFieldByMenuCode  	msg:==>  Preparing: SELECT CAST(id AS CHAR) AS "key",role_code AS "roleCode",data_field AS "dataField" FROM mscode_sys_role_data WHERE menu_code = ?
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:c.c.a.m.SysMenuMapper.queryDataFieldByMenuCode  	msg:==> Parameters: home(String)
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:c.c.a.m.SysMenuMapper.queryDataFieldByMenuCode  	msg:<==      Total: 0
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Initiating transaction commit
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Committing JDBC transaction on Connection [com.mysql.cj.jdbc.ConnectionImpl@5bbdbb36]
date:2022-08-02 17:30:32	thread:http-nio-10012-exec-7	level:DEBUG	logger:o.s.jdbc.datasource.DataSourceTransactionManager	msg:Releasing JDBC Connection [com.mysql.cj.jdbc.ConnectionImpl@5bbdbb36] after transaction
